u_symptom,incident_count,prolonged_incidents,prolonged_rate_pct,smoothed_prolonged_rate_pct,risk_lift_pct_points,avg_complexity_score,avg_reassignments,avg_reopens
Symptom 131,2,0,0.00,9.11,-0.36,8.00,1.00,0.00
Symptom 303,2,0,0.00,9.11,-0.36,10.50,1.50,0.00
Symptom 350,1,1,100.00,11.25,1.77,37.00,1.00,0.00
Symptom 376,3,1,33.33,10.83,1.35,18.00,2.00,0.00
Symptom 506,306,1,0.33,1.61,-7.87,4.69,0.16,0.00
Symptom 508,3,1,33.33,10.83,1.35,11.00,1.00,0.00
Symptom 89,1,1,100.00,11.25,1.77,10.00,1.00,0.00
Symptom 318,1,0,0.00,9.29,-0.19,14.00,0.00,0.00
Symptom 491,7865,702,8.93,8.93,-0.55,10.27,0.96,0.01
Symptom 380,2,0,0.00,9.11,-0.36,14.50,1.00,0.00
Symptom 186,2,0,0.00,9.11,-0.36,20.00,2.00,0.00
Symptom 377,2,0,0.00,9.11,-0.36,11.50,2.00,0.00
Symptom 584,1,0,0.00,9.29,-0.19,11.00,0.00,0.00
Symptom 222,5,1,20.00,10.44,0.96,11.80,0.80,0.00
Symptom 599,1,0,0.00,9.29,-0.19,15.00,2.00,0.00
Symptom 361,4,1,25.00,10.63,1.15,15.50,1.50,0.00
Symptom 557,13,1,7.69,9.11,-0.37,9.69,0.85,0.00
Symptom 432,2,1,50.00,11.04,1.56,10.50,0.00,0.00
Symptom 178,3,0,0.00,8.94,-0.54,9.33,0.67,0.00
Symptom 5,29,0,0.00,6.00,-3.48,8.79,1.45,0.00
Symptom 79,3,3,100.00,14.60,5.12,36.00,7.33,0.00
Symptom 284,4,1,25.00,10.63,1.15,23.00,0.75,0.00
Symptom 19,1,0,0.00,9.29,-0.19,15.00,3.00,0.00
Symptom 604,1,0,0.00,9.29,-0.19,13.00,3.00,0.00
Symptom 135,6,3,50.00,13.82,4.34,14.00,0.00,0.17
Symptom 261,6,0,0.00,8.46,-1.02,8.83,0.67,0.00
Symptom 352,2,1,50.00,11.04,1.56,22.50,1.50,0.00
Symptom 96,1,0,0.00,9.29,-0.19,8.00,0.00,0.00
Symptom 598,8,0,0.00,8.17,-1.31,7.63,1.13,0.00
Symptom 137,1,0,0.00,9.29,-0.19,21.00,4.00,0.00
Symptom 406,5,1,20.00,10.44,0.96,6.00,0.00,0.00
Symptom 120,113,4,3.54,5.36,-4.12,10.73,1.38,0.02
Symptom 282,2,0,0.00,9.11,-0.36,10.00,0.00,0.00
Symptom 460,1,1,100.00,11.25,1.77,81.00,2.00,0.00
Symptom 243,1,1,100.00,11.25,1.77,20.00,1.00,0.00
Symptom 20,9,0,0.00,8.03,-1.45,8.67,0.78,0.00
Symptom 572,6,2,33.33,12.04,2.56,15.50,1.67,0.00
Symptom 112,3,2,66.67,12.72,3.24,25.67,4.33,0.00
Symptom 411,10,2,20.00,11.23,1.75,18.00,3.70,0.00
Symptom 392,1,1,100.00,11.25,1.77,56.00,3.00,0.00
Symptom 296,154,6,3.90,5.26,-4.21,10.88,1.40,0.02
Symptom 102,110,25,22.73,18.59,9.11,15.96,0.73,0.01
Symptom 252,15,2,13.33,10.37,0.89,10.73,0.53,0.00
Symptom 427,1,0,0.00,9.29,-0.19,6.00,1.00,0.00
Symptom 285,2,0,0.00,9.11,-0.36,14.00,2.00,0.00
Symptom 11,2,0,0.00,9.11,-0.36,19.00,5.50,0.00
Symptom 63,1,1,100.00,11.25,1.77,50.00,15.00,0.00
Symptom 280,12,5,41.67,15.71,6.23,12.67,1.25,0.00
Symptom 403,14,0,0.00,7.41,-2.07,7.14,0.57,0.00
Symptom 488,1,0,0.00,9.29,-0.19,11.00,1.00,0.00
Symptom 56,12,1,8.33,9.26,-0.22,12.00,2.00,0.00
Symptom 265,1,1,100.00,11.25,1.77,15.00,0.00,0.00
Symptom 536,2,2,100.00,12.96,3.48,14.50,0.50,0.00
Symptom 592,76,9,11.84,10.90,1.43,12.75,1.70,0.03
Symptom 512,3,0,0.00,8.94,-0.54,8.67,1.00,0.00
Symptom 464,2,1,50.00,11.04,1.56,21.50,2.50,0.00
Symptom 9,39,4,10.26,9.82,0.34,12.56,1.56,0.05
Symptom 358,4,0,0.00,8.78,-0.70,13.00,1.50,0.25
Symptom 473,21,3,14.29,10.90,1.42,14.76,1.86,0.00
Symptom 253,6,3,50.00,13.82,4.34,15.00,0.33,0.00
Symptom 288,5,1,20.00,10.44,0.96,13.60,0.60,0.00
Symptom 566,2,0,0.00,9.11,-0.36,13.50,1.50,0.00
Symptom 493,2,0,0.00,9.11,-0.36,13.50,1.00,0.00
Symptom 189,1,0,0.00,9.29,-0.19,27.00,7.00,0.00
Symptom 57,5,1,20.00,10.44,0.96,13.80,1.40,0.00
Symptom 573,15,1,6.67,8.83,-0.65,13.40,2.47,0.07
Symptom 254,2,1,50.00,11.04,1.56,23.50,6.50,0.00
Symptom 563,3,1,33.33,10.83,1.35,15.33,1.67,0.00
Symptom 327,1,1,100.00,11.25,1.77,48.00,0.00,0.00
Symptom 238,1,1,100.00,11.25,1.77,12.00,0.00,0.00
Symptom 205,1,0,0.00,9.29,-0.19,17.00,5.00,0.00
Symptom 387,334,19,5.69,6.18,-3.30,9.47,1.03,0.00
Symptom 48,6,0,0.00,8.46,-1.02,5.17,0.17,0.00
Symptom 325,3,2,66.67,12.72,3.24,20.33,0.67,0.00
Symptom 17,14,2,14.29,10.53,1.05,14.93,3.43,0.00
Symptom 425,3,1,33.33,10.83,1.35,12.67,1.67,0.00
Symptom 33,10,1,10.00,9.57,0.09,12.40,1.90,0.00
Symptom 244,17,2,11.76,10.06,0.58,13.59,0.82,0.00
Symptom 185,1,1,100.00,11.25,1.77,24.00,3.00,0.00
Symptom 141,5,1,20.00,10.44,0.96,14.60,2.60,0.00
Symptom 495,30,1,3.33,7.17,-2.30,8.27,0.50,0.00
Symptom 608,4,2,50.00,12.48,3.00,8.25,1.00,0.00
Symptom 29,1,0,0.00,9.29,-0.19,14.00,2.00,0.00
Symptom 264,5,3,60.00,14.07,4.59,15.40,0.00,0.00
Symptom 256,12,9,75.00,22.16,12.68,17.17,0.25,0.17
Symptom 457,2,1,50.00,11.04,1.56,70.50,4.00,0.00
Symptom 391,11,0,0.00,7.77,-1.71,10.18,1.45,0.00
Symptom 440,2,1,50.00,11.04,1.56,20.50,4.00,0.00
Symptom 126,1,0,0.00,9.29,-0.19,15.00,2.00,0.00
Symptom 51,4,3,75.00,14.33,4.85,27.00,4.25,0.00
Symptom 398,4,0,0.00,8.78,-0.70,9.25,0.75,0.00
Symptom 581,2,0,0.00,9.11,-0.36,9.50,0.00,0.00
Symptom 150,1,0,0.00,9.29,-0.19,10.00,1.00,0.00
Symptom 277,2,0,0.00,9.11,-0.36,6.00,0.00,0.00
Symptom 340,1,0,0.00,9.29,-0.19,15.00,3.00,0.00
Symptom 305,1,0,0.00,9.29,-0.19,6.00,1.00,0.00
Symptom 418,4,0,0.00,8.78,-0.70,14.00,1.25,0.00
Symptom 314,1,1,100.00,11.25,1.77,109.00,0.00,0.00
Symptom 176,2,0,0.00,9.11,-0.36,9.00,1.00,0.00
Symptom 412,3,0,0.00,8.94,-0.54,13.67,3.00,0.00
Symptom 187,2,1,50.00,11.04,1.56,36.50,2.50,0.00
Symptom 68,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 235,3,1,33.33,10.83,1.35,14.67,1.67,0.00
Symptom 322,1,1,100.00,11.25,1.77,34.00,2.00,0.00
Symptom 374,3,0,0.00,8.94,-0.54,6.67,0.00,0.00
Symptom 410,2,0,0.00,9.11,-0.36,16.50,3.50,0.00
Symptom 208,158,39,24.68,21.03,11.55,14.23,0.92,0.04
Symptom 183,5,2,40.00,12.25,2.77,18.20,2.40,0.00
Symptom 158,6,2,33.33,12.04,2.56,34.33,3.83,0.17
Symptom 241,6,1,16.67,10.25,0.77,14.83,2.17,0.00
Symptom 53,1,0,0.00,9.29,-0.19,23.00,7.00,0.00
Symptom 172,1,0,0.00,9.29,-0.19,4.00,0.00,0.00
Symptom 250,20,3,15.00,11.06,1.58,13.50,2.10,0.00
Symptom 310,2,0,0.00,9.11,-0.36,17.00,1.50,0.00
Symptom 106,8,0,0.00,8.17,-1.31,8.25,0.38,0.00
Symptom 577,4,1,25.00,10.63,1.15,14.25,2.00,0.00
Symptom 402,1,0,0.00,9.29,-0.19,20.00,5.00,0.00
Symptom 475,1,1,100.00,11.25,1.77,31.00,4.00,0.00
Symptom 26,1,1,100.00,11.25,1.77,22.00,1.00,0.00
Symptom 273,19,7,36.84,17.01,7.53,20.95,1.11,0.05
Symptom 518,4,2,50.00,12.48,3.00,17.00,1.25,0.00
Symptom 249,5,2,40.00,12.25,2.77,11.80,1.60,0.00
Symptom 472,5,2,40.00,12.25,2.77,14.40,1.60,0.00
Symptom 271,5,2,40.00,12.25,2.77,11.40,0.80,0.00
Symptom 401,3,1,33.33,10.83,1.35,19.33,4.00,0.00
Symptom 61,1,0,0.00,9.29,-0.19,9.00,1.00,0.00
Symptom 119,68,3,4.41,6.56,-2.92,10.85,1.44,0.03
Symptom 330,1,1,100.00,11.25,1.77,17.00,0.00,0.00
Symptom 547,1,0,0.00,9.29,-0.19,12.00,0.00,0.00
Symptom 585,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 382,28,0,0.00,6.08,-3.40,14.61,2.14,0.04
Symptom 580,27,2,7.41,8.75,-0.73,11.07,1.19,0.00
Symptom 555,1,1,100.00,11.25,1.77,20.00,0.00,0.00
Symptom 603,1,0,0.00,9.29,-0.19,11.00,1.00,0.00
Symptom 602,2,1,50.00,11.04,1.56,11.00,0.50,0.00
Symptom 118,150,5,3.33,4.87,-4.61,8.51,0.79,0.01
Symptom 564,2,0,0.00,9.11,-0.36,17.00,3.00,0.00
Symptom 286,14,6,42.86,16.78,7.30,22.86,1.29,0.00
Symptom 522,4,1,25.00,10.63,1.15,18.00,2.25,0.00
Symptom 93,4,1,25.00,10.63,1.15,29.50,1.50,0.00
Symptom 351,1,0,0.00,9.29,-0.19,13.00,1.00,0.00
Symptom 87,106,4,3.77,5.60,-3.88,10.97,1.69,0.02
Symptom 538,1,0,0.00,9.29,-0.19,15.00,1.00,0.00
Symptom 356,2,1,50.00,11.04,1.56,16.00,0.50,0.00
Symptom 466,8,3,37.50,13.34,3.86,16.13,1.50,0.00
Symptom 220,4,1,25.00,10.63,1.15,17.75,3.00,0.00
Symptom 419,1,0,0.00,9.29,-0.19,6.00,0.00,0.00
Symptom 548,1,0,0.00,9.29,-0.19,14.00,1.00,1.00
Symptom 359,1,0,0.00,9.29,-0.19,14.00,0.00,0.00
Symptom 37,1,0,0.00,9.29,-0.19,18.00,4.00,0.00
Symptom 195,1,1,100.00,11.25,1.77,21.00,3.00,0.00
Symptom 209,3,2,66.67,12.72,3.24,29.67,1.33,0.00
Symptom 332,2,2,100.00,12.96,3.48,44.50,1.50,0.00
Symptom 74,5,1,20.00,10.44,0.96,13.80,1.40,0.00
Symptom 281,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 147,9,1,11.11,9.73,0.25,12.89,1.44,0.00
Symptom 453,1,0,0.00,9.29,-0.19,15.00,3.00,0.00
Symptom 582,1,0,0.00,9.29,-0.19,7.00,1.00,0.00
Symptom 142,2,0,0.00,9.11,-0.36,11.00,0.50,0.00
Symptom 368,3,0,0.00,8.94,-0.54,9.00,0.33,0.00
Symptom 66,14,1,7.14,8.97,-0.51,5.86,0.43,0.00
Symptom 443,2,0,0.00,9.11,-0.36,33.50,10.50,0.00
Symptom 134,35,16,45.71,24.40,14.92,23.97,3.17,0.06
Symptom 329,6,2,33.33,12.04,2.56,12.00,1.33,0.00
Symptom 589,14,7,50.00,18.34,8.86,21.57,0.64,0.00
Symptom 316,1,0,0.00,9.29,-0.19,9.00,0.00,0.00
Symptom 454,34,10,29.41,17.55,8.07,14.97,1.18,0.00
Symptom 532,261,7,2.68,3.77,-5.70,11.09,1.79,0.03
Symptom 311,20,5,25.00,13.91,4.43,13.40,1.00,0.00
Symptom 295,87,0,0.00,3.46,-6.02,4.89,0.22,0.00
Symptom 62,2,0,0.00,9.11,-0.36,12.50,2.00,0.00
Symptom 588,1,0,0.00,9.29,-0.19,7.00,1.00,0.00
Symptom 471,57,2,3.51,6.30,-3.18,9.95,0.61,0.02
Symptom 390,1,1,100.00,11.25,1.77,44.00,8.00,0.00
Symptom 609,14,3,21.43,12.09,2.61,13.93,1.29,0.00
Symptom 165,2,1,50.00,11.04,1.56,17.50,2.00,0.00
Symptom 421,5,1,20.00,10.44,0.96,19.00,3.40,0.20
Symptom 210,1,0,0.00,9.29,-0.19,17.00,2.00,0.00
Symptom 34,1,1,100.00,11.25,1.77,22.00,2.00,0.00
Symptom 569,4,0,0.00,8.78,-0.70,11.50,2.25,0.00
Symptom 72,2,0,0.00,9.11,-0.36,9.00,0.50,0.00
Symptom 605,13,3,23.08,12.29,2.81,15.15,2.23,0.00
Symptom 77,1,0,0.00,9.29,-0.19,16.00,4.00,0.00
Symptom 263,14,5,35.71,15.22,5.74,14.29,0.29,0.00
Symptom 177,6,1,16.67,10.25,0.77,13.67,1.33,0.00
Symptom 292,8,2,25.00,11.62,2.14,18.88,0.50,0.00
Symptom 23,6,0,0.00,8.46,-1.02,10.83,1.33,0.00
Symptom 429,4,0,0.00,8.78,-0.70,10.25,1.25,0.00
Symptom 8,30,3,10.00,9.67,0.20,14.27,2.37,0.00
Symptom 384,3,0,0.00,8.94,-0.54,14.33,2.67,0.00
Symptom 321,1,1,100.00,11.25,1.77,28.00,1.00,0.00
Symptom 75,3,2,66.67,12.72,3.24,23.00,2.67,0.00
Symptom 45,2,0,0.00,9.11,-0.36,18.50,4.00,0.00
Symptom 233,3,0,0.00,8.94,-0.54,10.33,0.00,0.00
Symptom 101,8,2,25.00,11.62,2.14,10.75,0.38,0.00
Symptom 217,12,4,33.33,14.10,4.62,19.42,2.00,0.00
Symptom 583,11,1,9.09,9.41,-0.07,11.45,1.27,0.00
Symptom 529,12,3,25.00,12.48,3.00,13.25,2.00,0.00
Symptom 111,2,0,0.00,9.11,-0.36,7.50,0.50,0.00
Symptom 92,3,0,0.00,8.94,-0.54,4.00,0.00,0.00
Symptom 319,3,0,0.00,8.94,-0.54,10.33,1.67,0.00
Symptom 431,5,1,20.00,10.44,0.96,15.00,2.20,0.00
Symptom 7,25,3,12.00,10.32,0.84,13.36,1.76,0.00
Symptom 110,1,1,100.00,11.25,1.77,16.00,1.00,0.00
Symptom 383,7,0,0.00,8.32,-1.16,14.14,2.57,0.00
Symptom 188,1,0,0.00,9.29,-0.19,24.00,2.00,0.00
Symptom 375,17,1,5.88,8.57,-0.91,12.94,1.88,0.00
Symptom 71,1,1,100.00,11.25,1.77,14.00,0.00,0.00
Symptom 416,2,0,0.00,9.11,-0.36,14.00,1.00,0.00
Symptom 115,36,3,8.33,9.00,-0.48,15.36,3.11,0.00
Symptom 164,1,0,0.00,9.29,-0.19,9.00,2.00,0.00
Symptom 50,10,0,0.00,7.90,-1.58,8.30,0.90,0.00
Symptom 6,76,6,7.89,8.52,-0.96,11.83,1.62,0.03
Symptom 214,4,0,0.00,8.78,-0.70,7.75,0.25,0.00
Symptom 415,1,0,0.00,9.29,-0.19,11.00,1.00,0.00
Symptom 486,16,6,37.50,16.27,6.79,15.00,0.88,0.06
Symptom 167,1,0,0.00,9.29,-0.19,10.00,2.00,0.00
Symptom 127,102,1,0.98,3.78,-5.70,6.96,0.64,0.01
Symptom 86,24,3,12.50,10.46,0.98,12.21,1.33,0.00
Symptom 373,1,0,0.00,9.29,-0.19,12.00,1.00,0.00
Symptom 437,1,1,100.00,11.25,1.77,16.00,1.00,0.00
Symptom 513,10,1,10.00,9.57,0.09,11.30,1.30,0.00
Symptom 15,1,1,100.00,11.25,1.77,18.00,3.00,0.00
Symptom 180,1,1,100.00,11.25,1.77,44.00,4.00,0.00
Symptom 155,1,0,0.00,9.29,-0.19,19.00,4.00,0.00
Symptom 228,1,1,100.00,11.25,1.77,13.00,0.00,0.00
Symptom 169,1,0,0.00,9.29,-0.19,27.00,9.00,0.00
Symptom 404,3,0,0.00,8.94,-0.54,8.33,0.33,0.00
Symptom 365,2,0,0.00,9.11,-0.36,13.00,1.00,0.00
Symptom 331,2,0,0.00,9.11,-0.36,11.50,0.00,0.00
